Classifier,Dataset,Labelling,Encoding,Prec_fold0,Rec_fold0,F1_fold0,AUC_fold0,Prec_fold1,Rec_fold1,F1_fold1,AUC_fold1,Prec_fold2,Rec_fold2,F1_fold2,AUC_fold2
dt,sepsis,mr_tr,dc_data,0.9545454545454546,0.9333333333333333,0.9438202247191012,0.967948717948718,0.967032967032967,0.9777777777777777,0.9723756906077348,0.9867521367521368,0.9565217391304348,0.967032967032967,0.9617486338797815,0.977661334804192
dt,sepsis,mr_tr,dc_dwd_payload,0.9468085106382979,0.9888888888888889,0.9673913043478262,0.9910256410256411,0.946236559139785,0.9777777777777777,0.9617486338797814,0.9847008547008547,0.9381443298969072,1.0,0.9680851063829787,0.9919385633671348
dt,sepsis,mr_tr,declare,0.8,0.8351648351648352,0.8172043010752689,0.8879672451101024,0.7521367521367521,0.9777777777777777,0.8502415458937197,0.9683119658119659,0.7959183673469388,0.8666666666666667,0.8297872340425533,0.9090598290598292
dt,sepsis,mr_tr,dwd,0.6530612244897959,0.7032967032967034,0.6772486772486773,0.8310280453137596,0.7037037037037037,0.6333333333333333,0.6666666666666667,0.8441452991452992,0.7384615384615385,0.5333333333333333,0.6193548387096774,0.8100641025641027
dt,sepsis,mr_tr,hybrid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dt,sepsis,mr_tr,hybrid_data,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dt,sepsis,mr_tr,hybrid_dwd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dt,sepsis,mr_tr,hybrid_dwd_payload,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dt,sepsis,mr_tr,mr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dt,sepsis,mr_tr,mr_data,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dt,sepsis,mr_tr,mra,0.7818181818181819,0.9555555555555556,0.86,0.9661538461538463,0.6850393700787402,0.9666666666666667,0.8018433179723502,0.9454700854700855,0.83,0.9120879120879121,0.869109947643979,0.969430183715898
dt,sepsis,mr_tr,mra_data,0.8461538461538461,0.8555555555555555,0.850828729281768,0.943354700854701,0.8,0.8,0.8000000000000002,0.9607478632478632,0.8173076923076923,0.9340659340659341,0.8717948717948718,0.9782977640120497
dt,sepsis,mr_tr,payload,0.39849624060150374,0.5824175824175825,0.47321428571428575,0.7646272646272646,0.3953488372093023,0.9444444444444444,0.5573770491803278,0.7326282051282051,0.4028436018957346,0.9444444444444444,0.5647840531561461,0.7272435897435897
dt,sepsis,mr_tr,tr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dt,sepsis,mr_tr,tr_data,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dt,sepsis,mr_tr,tra,0.9782608695652174,1.0,0.989010989010989,0.997008547008547,0.9375,1.0,0.967741935483871,0.9887179487179487,0.9381443298969072,1.0,0.9680851063829787,0.9884169884169884
dt,sepsis,mr_tr,tra_data,0.9772727272727273,0.9555555555555556,0.9662921348314608,0.9755769230769232,0.9375,1.0,0.967741935483871,0.9887179487179487,0.9381443298969072,1.0,0.9680851063829787,0.9884169884169884
dt,sepsis,mra_tra,baseline,1.0,1.0,1.0,1.0,0.9945652173913043,1.0,0.9972752043596731,0.997005988023952,1.0,1.0,1.0,1.0
dt,sepsis,mra_tra,bs_data,1.0,0.9781420765027322,0.988950276243094,0.9972677595628415,0.9945054945054945,0.9890710382513661,0.9917808219178081,0.9967769379274238,0.9945945945945946,1.0,0.997289972899729,0.996987951807229
dt,sepsis,mra_tra,dc_data,1.0,0.9836065573770492,0.9917355371900827,0.9970223487451326,1.0,0.9890710382513661,0.9945054945054945,0.9967769379274238,1.0,0.9891304347826086,0.994535519125683,0.9999345206914615
dt,sepsis,mra_tra,dc_dwd_payload,1.0,0.9836065573770492,0.9917355371900827,0.9967605772062432,1.0,0.9890710382513661,0.9945054945054945,0.994535519125683,0.9945652173913043,0.9945652173913043,0.9945652173913043,0.9969224724986904
dt,sepsis,mra_tra,declare,1.0,0.9782608695652174,0.989010989010989,0.9871005762179151,0.9945652173913043,1.0,0.9972752043596731,0.997005988023952,1.0,0.9836065573770492,0.9917355371900827,0.9918032786885246
dt,sepsis,mra_tra,dwd,0.9675675675675676,0.9728260869565217,0.9701897018970189,0.9795540859088528,0.9943820224719101,0.9672131147540983,0.9806094182825486,0.9862733549294852,0.9887640449438202,0.9617486338797814,0.9750692520775623,0.9732502208697359
dt,sepsis,mra_tra,hybrid,1.0,0.9836065573770492,0.9917355371900827,0.9967605772062432,1.0,0.9890710382513661,0.9945054945054945,0.9969241844180492,1.0,0.9891304347826086,0.994535519125683,0.9944997380827658
dt,sepsis,mra_tra,hybrid_data,1.0,0.9836065573770492,0.9917355371900827,0.9967605772062432,1.0,0.9890710382513661,0.9945054945054945,0.9967769379274238,1.0,0.9891304347826086,0.994535519125683,0.9999345206914615
dt,sepsis,mra_tra,hybrid_dwd,1.0,0.9836065573770492,0.9917355371900827,0.9970223487451326,1.0,0.994535519125683,0.9972602739726028,0.9972677595628415,1.0,0.9945652173913043,0.9972752043596731,0.9999508905185961
dt,sepsis,mra_tra,hybrid_dwd_payload,1.0,0.9836065573770492,0.9917355371900827,0.9916069500343575,1.0,0.9890710382513661,0.9945054945054945,0.994535519125683,0.994535519125683,0.9891304347826086,0.9918256130790191,0.9972334992142482
dt,sepsis,mra_tra,mr,1.0,0.9890710382513661,0.9945054945054945,1.0,1.0,1.0,1.0,1.0,0.9945945945945946,1.0,0.997289972899729,0.996987951807229
dt,sepsis,mra_tra,mr_data,1.0,1.0,1.0,1.0,0.994535519125683,0.994535519125683,0.994535519125683,0.9969569058604103,0.9945945945945946,1.0,0.997289972899729,0.996987951807229
