Dataset,IA,MR,TR,MRA,TRA,Declare,H,Data,DeclD,Data+IA,Data+MR,Data+MRA,Data+TR,Data+TRA,Data+Declare,Data+DeclD,Data+H,H+DeclD,H+Data+DeclD
bpi15B_decl2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9308997321287474,0.9991452991452991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi15B_mr_tr,0.9904998597845989,0.9871208957990187,0.9940616246498599,0.9884390457406462,0.9941437034519514,1.0,1.0,0.8487443286661069,0.9952644655701917,0.9917627740751473,0.9905292686247744,0.9941166811552208,0.9896722367107763,0.9941166811552208,1.0,1.0,1.0,1.0,1.0
bpi15B_mra_tra,0.9992248062015504,0.9992125984251968,0.9984374046267472,0.9976622108282976,0.9984496124031008,0.9992125984251968,0.9992125984251968,0.9356670379988664,0.9861165898891262,0.9968748092534947,0.9992248062015504,0.9992125984251968,0.9976622108282976,0.9992125984251968,0.9992125984251968,0.9992125984251968,0.9992125984251968,0.9992125984251968,0.9992125984251968
bpi15B_payload_560925,0.586823035850496,0.5043165606323499,0.5131320476908713,0.5178205128205129,0.5688511162040573,0.5465755735492579,0.8486194653299917,0.9447736989532654,0.9835913312693499,0.9453018575851393,0.9458031107179714,0.9359378839255001,0.9471919996068603,0.928950808393533,0.9630029284441048,0.9847117794486216,0.9525945545682388,0.974185463659148,0.9674749373433584
bpi15C_decl2,1.0,1.0,1.0,1.0,1.0,1.0,0.9994652406417112,0.8293589608624652,0.9994652406417112,1.0,1.0,1.0,1.0,1.0,0.9994652406417112,0.9994652406417112,0.9994652406417112,0.9994652406417112,1.0
bpi15C_mr_tr,0.9929469770202519,0.9964738088801619,0.9936362248015707,0.9936466330162043,0.9937344093910493,1.0,1.0,0.8547320419379704,0.9908383050358399,0.9950939424967306,0.9957446808510639,0.9943455814556381,0.9936752871902295,0.9915083526736985,1.0,1.0,1.0,1.0,1.0
bpi15C_mra_tra,0.999,0.9995024875621891,0.9995024875621891,0.9995024875621891,0.9995024875621891,1.0,1.0,0.9111061262093519,0.9846186022337167,0.9990049751243781,0.9995024875621891,0.9995024875621891,0.9995024875621891,0.9995024875621891,1.0,1.0,1.0,1.0,1.0
bpi15C_payload_560925,0.44000251524869505,0.3000891299962507,0.36381478558947844,0.37125440945216537,0.4453759032958143,0.40148774032984563,0.804236200232405,0.8297251844131548,0.9578799623297595,0.8072422756981581,0.7824667212926226,0.8267498812199625,0.7965072930666237,0.7764165688478366,0.9157361977048886,0.9620845552297166,0.9456110692836137,0.9888888888888889,0.9713453079178886
bpi15D_decl2,1.0,1.0,1.0,1.0,1.0,0.9993103448275862,1.0,0.6675668443907115,0.9986110441282854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi15D_mr_tr,0.995009900990099,0.9970097009700968,0.9940188136460705,0.9970097009700968,0.9938531353135313,0.998989898989899,0.9979997999799979,0.8043942748154903,0.9960198019801979,0.9970097009700968,0.9940182013399419,0.9939993999399939,0.9949688846435663,0.9959789856536674,0.998989898989899,0.9979997999799979,0.998989898989899,0.998989898989899,0.9979997999799981
bpi15D_mra_tra,1.0,1.0,1.0,1.0,1.0,0.9952380952380953,0.9908902691511388,0.4735642658468745,0.9765424430641823,1.0,1.0,1.0,1.0,1.0,0.9908902691511388,0.9908902691511388,0.9908902691511388,0.9908902691511388,0.9908902691511388
bpi15D_payload_560925,0.3539941399390446,0.6558903374559055,0.3220932571157073,0.624922998096911,0.3578140540468298,0.7299206770241252,0.8955820491768769,0.9928480204342274,1.0,0.9928480204342274,0.9928480204342274,0.9928480204342274,0.9928480204342274,0.9928480204342274,0.9928480204342274,0.9962962962962963,0.9928480204342274,0.9962962962962963,0.9962962962962963
bpi15E_decl2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8227309368692575,0.9993548387096773,1.0,1.0,1.0,1.0,1.0,1.0,0.9993548387096773,0.9993548387096773,1.0,1.0
bpi15E_mr_tr,0.9898006007298903,0.9953439153439154,0.9962433862433864,0.9971608265947889,0.9934221914488488,0.9990476190476191,0.9981130396083667,0.8478657816062366,0.9803601150658396,0.9962616822429908,0.9962262471555366,0.9934571228910851,0.994356435010495,0.9883609746469773,0.9981130396083667,0.9981130396083667,0.9981130396083667,0.9990654205607477,0.9981130396083667
bpi15E_mra_tra,0.9983424065068458,0.9972374673075312,0.9983425414364641,0.9955735326783511,0.9966603907528011,1.0,1.0,0.9318406447997427,0.9912198398438006,0.9966541136829372,0.9966603907528011,0.9972313960307417,0.9983363684064323,0.9972313960307417,0.9994475138121548,1.0,1.0,1.0,1.0
bpi15E_payload_560925,0.20754000385579344,0.5662791594370542,0.2426778656126482,0.5941634360838156,0.15655590386624868,0.5918773873185638,0.7923308796466689,0.9571989459815547,0.9789710144927536,0.9461621566838959,0.9578399716225803,0.9498689571298268,0.9662753623188408,0.9462352285395765,0.9545211310428702,0.9749565217391305,0.9531225296442688,0.9749565217391305,0.9789565217391305
